ไทย,Tagalog,หมายเหตุ
ปีเตอร์เป็นผู้ชาย,Si Peter ay lalaki.,S~
รูธเป็นผู้หญิง,Si Ruth ay babae.,S~
พวกเขามีบ้านหลังสวยงาม,Sila ay may magandang bahay.,SVO(a+n)
เฮเลนและทอมนิสัยดี,Sina Helen at Tom ay mababait.,S~
เฮเลนและทอมเป็นเด็ก,Sina Helen at Tom ay mga bata.,S~
มาเรียกับเอเลนาสวยเท่ากัน,Sina Maria at Elena ay magkasingganda.,S~
คุณเป็นใคร,Sino ba kayo?,
คนนั้นเป็นใคร,Sinong taong iyan?,aQ n+a
ใครเป็นลูก ๆ ของคุณ,Sinu-sino ba ang inyong mga anak?,a+n
เขาคือปีเตอร์,Siya ay si Peter.,S~
พวกเรา(ฉันและเธอ)เป็นเพื่อนกัน,Tayo ay magkaibigan.,- S~<br>- รวมผู้ฟัง
เธอไม่มีอาหารหรอ,Wala ka bang pagkain?,
พวกเรา(-2)ไม่มีอาหาร,Walang pagkain kami.,VOS
