単語,読み方
屯,たむろ
山岳,さんがく
山羊座,やぎざ
岐路,きろ
峠,とうげ
崇める,あがめる
嵌める,はめる
嵩張る,かさばる
川勾,かわわ
巣窟,そうくつ
工夫,くふう／こうふ
左遷,させん
巧み,たくみ
巨匠,きょしょう
巷,ちまた
巻き尺,まきじゃく
巻末,かんまつ
巻頭,かんとう
市松模様,いちまつもよう
帰一算,きいちざん
干拓,かんたく
干支,えと
干渉,かんしょう
干物,ひもの
幸子,さちこ
幹,みき
幻覚,げんかく
庇う,かばう
店頭,てんとう
度胸,どきょう
庶民,しょみん
廃れる,すたれる
廃墟,はいきょ
延喜式神名帳,えんぎしきじんみょうちょう
弁える,わきまえる
弄ぶ,もてあそぶ
弄る,いじる
引き裂く,ひきさく
弟橘媛命,おとたちばなひめのみこと
弥勒菩薩,みろくぼさつ
強ち,あながち
強者,きょうしゃ／つわもの
強行,きょうこう
強面,こわもて
弾む,はずむ
彗星,すいせい
彩る,いろどる
彫る,ほる
役行者,えんのぎょうじゃ
彼岸花,ひがんばな
待ち構える,まちかまえる
律する,りっする
後ろ盾,うしろだて
徐に,おもむろに
徒競走,ときょうそう
従来,じゅうらい
御来迎,ごらいごう
復興,ふっこう
復興,ふっこう
微か,かすか
微細,びさい
徹底,てってい
心底,しんそこ／しんてい
志,こころざし
忠告,ちゅうこく
忠実,ちゅうじつ
忠誠,ちゅうせい
快い,こころよい
忽ち,たちまち
怠る,おこたる
怪力,かいりき
怯える,おびえる
恒例,こうれい
恩恵,おんけい
恩赦,おんしゃ
悟る,さとる
情勢,じょうせい
情熱,じょうねつ
惚ける,とぼける
惚気,のろけ
惰性,だせい
愕然,がくぜん
愚痴,ぐち
愛でる,めでる
慎重,しんちょう
慣用句,かんようく
慰労,いろう
慰霊碑,いれいひ
慶弔,けいちょう
憎む,にくむ
憔悴,しょうすい
憩い,いこい
懸想文,けそうぶみ
懺悔,ざんげ
戎,えびす
成す術がない,なすすべがない
我武者羅,がむしゃら
我田引水,がでんいんすい
戒める,いましめる
戒名,かいみょう
戦国武将,せんごくぶしょう
戯れる,たわむれる
所轄,しょかつ
手助け,てだすけ
手品,てじな
手榴弾,しゅりゅうだん
手腕,しゅわん
手裏剣,しゅりけん
手錠,てじょう
承知,しょうち
承諾,しょうだく
抉る,えぐる
把握,はあく
抑制,よくせい
投資,とうし
抗う,あらがう
抱える,かかえる
抱擁,ほうよう
抱負,ほうふ
抽象,ちゅうしょう
担う,になう
担ぐ,かつぐ
担保,たんぽ
担架,たんか
拒む,こばむ
拗ねる,すねる
拙い,つたない
拙者,せっしゃ
拙著,せっちょ
拝む,おがむ
拳,こぶし
持久力,じきゅうりょく
指揮,しき
挑発,ちょうはつ
挙手,きょしゅ
挫ける,くじける
振幅,しんぷく
捉える,とらえる
捏ねる,こねる
捏造,ねつぞう
捕捉,ほそく
捕虜,ほりょ
掃く,はく
授与,じゅよ
掌,てのひら
排泄,はいせつ
掟,おきて
控訴,こうそ
推薦,すいせん
措置,そち
掬う,すくう
掲載,けいさい
掴む,つかむ
描画,びょうが
提示,ていじ
揶揄,やゆ
揺り籠,ゆりかご
損なう,そこなう
搭載,とうさい
携える,たずさえる
搾取,さくしゅ
摂取,せっしゅ
撥音,はつおん
操る,あやつる
擦り付け,なすりつけ
擦れる,すれる
改革,かいかく
救世主,きゅうせいしゅ
救護班,きゅうごはん
教徒,きょうと
敬う,うやまう
数珠,じゅず
整う,ととのう
敷く,しく
敷地,しきち
文献,ぶんけん
文脈,ぶんみゃく
斬首,ざんしゅ
断崖絶壁,だんがいぜっぺき
断食,だんじき
新政,あらまさ
新疆,しんきょう
新発田市,しばたし
方位磁針,ほういじしん
方針,ほうしん
施行,しこう
施設,しせつ
旋毛,つむじ
日付,ひづけ
日本武尊,やまとたけるのみこと
昇華,しょうか
昇順,しょうじゅん
時期尚早,じきしょうそう
時節柄,じせつがら
晒す,さらす
晩酌,ばんしゃく
晩餐,ばんさん
晴耕雨読,せいこううどく
暖炉,だんろ
暗唱,あんしょう
暴く,あばく
暴露,ばくろ
更迭,こうてつ
書留,かきとめ
月極,つきぎめ
有無,うむ
有益,ゆうえき
服役,ふくえき
朗らか,ほがらか
朝令暮改,ちょうれいぼかい
朧げる,おぼろげる
木漏れ日,こもれび
木綿,もめん
本家本元,ほんけほんもと
朽ちる,くちる
村八分,むらはちぶ
杖,つえ
杜撰,ずさん
束縛,そくばく
杭,くい
東葉勝田台,とうようかつただい
松竹梅,しょうちくばい
果敢,かかん
果樹園,かじゅえん
枠組み,わくぐみ
枢密,すうみつ
枷,かせ
柱,はしら
柵,さく
栞,しおり
核心,かくしん
根底,こんてい
根拠,こんきょ
格子,こうし
栽培,さいばい
案山子,かかし
桑,くわ
桶,おけ
梱包,こんぽう
棄権,きけん
植木鉢,うえきばち
植樹,しょくじゅ
検疫,けんえき
検討,けんとう
楓,かえで
楔形,くさびがた
楕円,だえん
極まる,きわまる
極楽浄土,ごくらくじょうど
概念,がいねん
槍,やり／ほこ
模倣,もほう
模写,もしゃ
模型,もけい
横隔膜,おうかくまく
樹木,じゅもく
櫛田,くしだ
欠陥,けっかん
欺く,あざむく
正直,しょうじき
歪み,ひずみ／ゆがみ
歯茎,はぐき
