pregunta,resposta
(gerundi) aprendre,aprenent
(participi) aparéixer,aparegut
(participi) coneixer,conegut
(participi) córrer,corregut
(participi) dir,dit
(participi) encendre,encés
(participi) riure,rigut
(participi) voler,volgut
