Deutsch,Wortart,Thailändisch,Add Reverse
erinnern,V.,จำ ทำให้ระลึก,y
erkältet,Adj.,หวัด,y
erklären,V.,อธิบาย,y
erst,Adj.,ที่หนึ่ง แรก,y
erwarten,V.,ตั้งหน้าตั้งตาคอย,y
erzählen,V.,เล่า,y
es gibt,,มี (ไม่ระบุประธาน),y
etwas,,บางอย่าง,y
explodieren,V.,ระเบิด,y
fahren,V.,ไป (f),y
falsch,Adj.,ผิด ที่ไม่ถูกต้อง,y
fantastisch,Adj.,ยอดเยี่ยม (fantastic),y
fast,Adv.,เกือบ (f),y
faul,Adj.,ขี้เกียจ,y
faulenzen,V.,นั่ง ๆ นอน ๆ ไม่ทำอะไร,y
fegen,V.,กวาด,y
feiern,V.,เฉลิมฉลอง จัดงานเลี้ยง,y
fern,Adj.,ไกล (f),y
fernbleiben,V.,อยู่ห่างออกไป <i><b><u>(กริยา)</u></b></i>,y
fernsehen,V.,ดูโทรทัศน์,y
fertig,Adj.,เสร็จ สำเร็จ,y
festkochend,Adj.,เนื้อแน่น ไม่กระจุย,y
fett,Adj.,มัน,y
fettarm,Adj.,ไขมันต่ำ,y
finden,V.,คิด (f),y
fleißig,Adj.,ขยัน,y
fliegen,V.,บินไป,y
fotografieren,V.,ถ่ายรูป,y
fragen,V.,ถาม,y
frei,Adj.,ว่าง,y
frei haben,V.,ว่าง (กริยา),y
fremd,Adj.,แปลก (f),y
freuen,V.,มีความสุข ยินดี (f),y
frisch,Adj.,สด (新鮮),y
fröhlich,Adj.,[คำคุณศัพท์] ยินดี ปรีดา มีความสุข (!g),y
früh,Adj.,เช้า ไว,y
frühmorgens,Adv.,เช้าตรู่,y
fühlen,V.,รู้สึก,y
funkeln,V.,สะท้อนแสง เป็นระยิบระยับ,y
ganz,A.,ทั้ง ทั้งหมด เต็ม ๆ,y
geboren,V.,เกิด,y
geduldig,Adj.,อดทน,y
gefährlich,Adj.,อันตราย,y
gefallen,V.,ทำให้ชอบ (es: gustar),y
gegen,,(ช่วงเวลา)ประมาณ,y
gegen (Position),Präp.,มุ่งหน้าไปยัง (บุพบท),y
gehen,V.,ไป,y
gemeinsam,Adj.,ด้วยกัน (g),y
gemütlich,Adj.,อยู่สบาย,y
genau,,ใช่เลย,y
genauso,Adv.,เท่า ๆ กัน เสมอ ๆ กัน (!e),y
genießen,V.,สนุกสนาน มีความสุขไปกับ (en: enjoy),y
genug,Adv.,เพียงพอ,y
gerade,Adv.,เพิ่ง,y
geradeaus,Adv.,ตรงไป ตรงหน้า ด้านหน้า,y
geschieden,Adj.,หย่า,y
gespannt sein,V.,ตั้งหน้าตั้งตารอ น่าสนุก 楽しみ,y
gestern,Adv.,เมื่อวาน,y
gestresst,Adj.,เครียด,y
getrent,Adv.,แยกกัน (จ่ายแยก),y
gewinnen,V.,ชนะ,y
glauben,V.,เชื่อ,y
gleich (adj),Adj.,เกือบ ใกล้เคียง คล้าย ๆ,y
gleich (adv),Adv.,เดี๋ยว อีกแปป,y
gleifalls,,เช่นกัน (!gn),y
