抗う,あらがう
抱える,かかえる
抱擁,ほうよう
抱負,ほうふ
抽象,ちゅうしょう
担う,になう
担保,たんぽ
担架,たんか
拒む,こばむ
拙い,つたない
拙者,せっしゃ
拙著,せっちょ
拝む,おがむ
拳,こぶし
持久力,じきゅうりょく
指揮,しき
挑発,ちょうはつ
挙手,きょしゅ
挫ける,くじける
振幅,しんぷく
捉える,とらえる
捏造,ねつぞう
捕捉,ほそく
捕虜,ほりょ
掃く,はく
授与,じゅよ
掌,てのひら
排泄,はいせつ
控訴,こうそ
推薦,すいせん
措置,そち
掲載,けいさい
掴む,つかむ
提示,ていじ
揺り籠,ゆりかご
損なう,そこなう
搭載,とうさい
携える,たずさえる
摂取,せっしゅ
撥音,はつおん
操る,あやつる
擦り付け,なすりつけ
擦れる,すれる
改革,かいかく
救世主,きゅうせいしゅ
救護班,きゅうごはん
教徒,きょうと
敬う,うやまう
数珠,じゅず
整う,ととのう
敷く,しく
敷地,しきち
文献,ぶんけん
文脈,ぶんみゃく
斬首,ざんしゅ
断崖絶壁,だんがいぜっぺき
断食,だんじき
新疆,しんきょう
方位磁針,ほういじしん
方針,ほうしん
施行,しこう
施設,しせつ
昇華,しょうか
昇順,しょうじゅん
時期尚早,じきしょうそう
晒す,さらす
晩酌,ばんしゃく
晴耕雨読,せいこううどく
暖炉,だんろ
暗唱,あんしょう
暴く,あばく
暴露,ばくろ
更迭,こうてつ
書留,かきとめ
月極,つきぎめ
有無,うむ
有益,ゆうえき
朝令暮改,ちょうれいぼかい
木漏れ日,こもれび
木綿,もめん
本家本元,ほんけほんもと
朽ちる,くちる
杖,つえ
杜撰,ずさん
束縛,そくばく
果敢,かかん
果樹園,かじゅえん
枠組み,わくぐみ
枢密,すうみつ
枷,かせ
柱,はしら
柵,さく
核心,かくしん
根底,こんてい
根拠,こんきょ
格子,こうし
栽培,さいばい
案山子,かかし
桑,くわ
桶,おけ
棄権,きけん
植樹,しょくじゅ
検疫,けんえき
検討,けんとう
楔形,くさびがた
楕円,だえん
極まる,きわまる
極楽浄土,ごくらくじょうど
概念,がいねん
槍,やり／ほこ
模写,もしゃ
模型,もけい
樹木,じゅもく
欠陥,けっかん
欺く,あざむく
正直,しょうじき
歪み,ひずみ／ゆがみ
歯茎,はぐき
残高,ざんだか
毀損,きそん
気晴らし,きばらし
水瓶座,みずがめざ
氷点下,ひょうてんか
汎用,はんよう
江崎玲於奈,えさきれおな
沈黙,ちんもく
河川,かせん
治外法権,ちがいほうけん
沿う,そう
沿道,えんどう
泥酔,でいすい
注釈,ちゅうしゃく
洗浄,せんじょう
活かす,いかす
派遣,はけん
浪費,ろうひ
浮腫む,むくむ
浸かる,つかる
浸す,ひたす
浸る,ひたる
涅槃,ねはん
消耗,しょうもう
深入り,ふかいり
渇望,かつぼう
減衰,げんすい
渦中,かちゅう
溢れる,あふれる／こぼれる
溶接,ようせつ
滅,めつ
滅ぶ,ほろぶ
滑稽,こっけい
漂う,ただよう
漏電,ろうでん
演算子,えんざんし
潜む,ひそむ
潜在,せんざい
激励,げきれい
濁る,にごる
瀕死,ひんし
瀬戸際,せとぎわ
火種,ひだね
灯台,とうだい
災い,わざわい
炎天下,えんてんか
炭火,すみび
無性に,むしょうに
無謀,むぼう
焦らす,じらす
照合,しょうごう
煩わしい,わずらわしい
熾烈,しれつ
燦然,さんぜん
爬虫類,はちゅうるい
牡牛座,おうしざ
牡羊座,おひつじざ
物色,ぶっしょく
特徴,とくちょう
牽制,けんせい
狂牛病,きょうぎゅうびょう
狛犬,こまいぬ
独り占め,ひとりじめ
独占,どくせん
独楽,こま
狼,おおかみ
猟奇,りょうき
猫糞,ねこばば
献血,けんけつ
猶予,ゆうよ
獅子座,ししざ
率いる,ひきいる
率先,そっせん
瓜,うり
甘味処,あまみどころ
生死,せいし
生殖,せいしょく
生涯,しょうがい
甥,おい
用心,ようじん
甲斐性,かいしょう
画一的,かくいつてき
画鋲,がびょう
界隈,かいわい
疎,そ
疎か,おろそか
疼く,うずく
疼痛,とうつう
疾病,しっぺい
痕,<div>あと<br></div>
痕跡,こんせき
発汗,はっかん
発足,ほっそく
百貨店,ひゃっかてん
的を射る,まとをいる
的外れ,まとはずれ
皆勤賞,かいきんしょう
皇后,こうごう
皇帝,こうてい
目論見,もくろみ
盲腸,もうちょう
直箸,じかばし
相互,そうご
相俟って,あいまって
眉間,みけん
真空,しんくう
眩む,くらむ
睨む,にらむ
瞳,ひとみ
知床,しれとこ
短針,たんしん
研ぐ,とぐ
砕ける,くだける
破傷風,はしょうふう
破壊,はかい
破天荒,はてんこう
破片,はへん
破綻,はたん
硬直,こうちょく
碑,いしぶみ
磁石,じしゃく
礎,いしずえ
示す,しめす
示唆,しさ
移植,いしょく
稚拙,ちせつ
穀物,こくもつ
空襲,くうしゅう
窮地,きゅうち
立替金,たてかえきん
筆頭,ひっとう
筵,むしろ
箒,ほうき
