ไทย,Zulu,หมายเหตุ
ไปดีมาดีนะ,Hamba kahle.,
ชาหรือกาแฟ,Itiye noma ikhofi?,
ฉันชอบชา,Ngithanda itiye.,
ฉันสบายดี,Ngiyaphila.,
โชคดี / ลาก่อน,Sala kahle.,
สวัสดีครับ,Sawubona.,
สบายดีไหม,Unjani?,
เขาดื่มชา,Uphuza itiye.,
ใช่แล้ว ฉันชอบโยเกิร์ต,"Yebo, ngithanda i-yogurt.",
สวัสดี,Yebo.,
